player,team,games,fgm,fga,ftm,fta,tpm,pts,reb,ast,stl,blk,tov
Payton Pritchard,BOS,78,5.64463040446304,12.09818688981869,1.1962343096234311,1.3847977684797768,2.7644351464435144,15.249930264993026,3.786471408647141,4.42510460251046,0.7440725244072525,0.13347280334728034,1.1860529986053
Josh Giddey,CHI,59,5.768285714285715,12.689857142857143,2.7727142857142857,3.5917142857142856,1.6862857142857142,16.045714285714286,8.271714285714287,8.084142857142858,1.0734285714285714,0.5738571428571428,3.248142857142857
Deni Avdija,POR,67,6.585507246376811,13.917391304347824,5.64975845410628,7.132367149758454,1.7458937198067634,20.513526570048306,7.075362318840581,5.37584541062802,0.8695652173913043,0.5531400966183575,3.2120772946859906
Ivica Zubac,IND,57,6.489051094890511,10.49051094890511,2.0189781021897812,2.925547445255475,0.0,14.984671532846715,11.302189781021898,2.3197080291970806,0.518978102189781,0.9810218978102191,1.6379562043795621
Jalen Williams,OKC,45,7.4546275395033845,15.168848758465009,3.218510158013544,3.958690744920993,1.3422121896162527,19.523250564334088,4.830925507900677,5.152821670428894,1.370880361173815,0.5349887133182843,2.0081264108352146
Josh Hart,NYK,67,4.619373831775701,9.14485046728972,1.5898084112149533,2.092894859813084,1.2735957943925238,12.063948598130843,8.180563084112151,5.030864485981308,1.200411214953271,0.33094158878504676,1.8926728971962619
Brandon Miller,CHA,49,7.2364500000000005,16.87205,2.9263,3.2718833333333333,3.2682,20.683433333333337,4.999800000000001,3.3403499999999995,1.0415166666666666,0.7119666666666666,2.5404166666666668
Joel Embiid,PHI,25,7.482043048056048,15.209478236628373,6.404727494399074,7.472018092440629,1.1264814555207436,22.50544507572749,8.114802717952308,4.009733849274359,0.6966425827621812,1.1810403641645077,2.558650082983005
Naz Reid,MIN,78,5.211048158640227,11.276203966005665,1.2794617563739377,1.6909348441926346,2.13399433427762,13.792492917847026,6.01728045325779,2.1307365439093484,0.8750708215297449,0.9545325779036826,1.5090651558073656
DeMar DeRozan,SAC,71,6.285781294964028,12.930202877697837,4.43111654676259,5.108589928057553,0.6962503597122301,17.660624460431652,2.950614388489208,3.772420143884891,0.8220561151079135,0.3195841726618705,1.1512791366906474
Matas Buzelis,CHI,77,5.169381175631494,11.130771052771875,2.056602497941923,2.6491113199951606,1.9411300108801757,14.360890898628295,5.311192903824513,1.8389256855014675,0.6431997387528282,1.3398807099447296,1.7587533640456623
Franz Wagner,ORL,43,8.144530805687204,17.208028436018953,4.591450236966825,5.411317535545025,1.5411184834123224,22.421630331753555,5.538938388625592,4.044710900473934,1.126834123222749,0.36690995260663506,2.0298483412322272
